,,,,,,,,,
LEL-MAG-SPSU04_Ext1,O 3.04,HOLDING REGISTER  Registro 3 offset bit 4,,---SPARE---,I 3.04,HOLDING REGISTER  Registro 3 offset bit 4,,,
LEL-MAG-SPSU04_Ext2,O 3.05,HOLDING REGISTER  Registro 3 offset bit 5,,---SPARE---,I 3.05,HOLDING REGISTER  Registro 3 offset bit 5,,,
LEL-MAG-SPSU05_Ext1,O 3.06,HOLDING REGISTER  Registro 3 offset bit 6,,---SPARE---,I 3.06,HOLDING REGISTER  Registro 3 offset bit 6,,,
LEL-MAG-SPSU05_Ext2,O 3.07,HOLDING REGISTER  Registro 3 offset bit 7,,---SPARE---,I 3.07,HOLDING REGISTER  Registro 3 offset bit 7,,,
LEL-MAG-HCOR04A-TS,I 4.00,HOLDING REGISTER  Registro 4 offset bit 0,,---SPARE---,I 3.08,HOLDING REGISTER  Registro 3 offset bit 8,,,
LEL-MAG-VCOR04A-TS,I 4.01,HOLDING REGISTER  Registro 4 offset bit 1,,---SPARE---,I 3.09,HOLDING REGISTER  Registro 3 offset bit 9,,,
LEL-MAG-SOL02 COIL1-TS,I 4.02,HOLDING REGISTER  Registro 4 offset bit 2,,---SPARE---,I 3.10,HOLDING REGISTER  Registro 3 offset bit 10,,,
LEL-MAG-SOL02 COIL2-TS,I 4.03,HOLDING REGISTER  Registro 4 offset bit 3,,---SPARE---,I 3.11,HOLDING REGISTER  Registro 3 offset bit 11,,,
LEL-MAG-SOL02 COIL3-TS,I 4.04,HOLDING REGISTER  Registro 4 offset bit 4,,---SPARE---,I 3.12,HOLDING REGISTER  Registro 3 offset bit 12,,,
LEL-MAG-SOL02 COIL4-TS,I 4.05,HOLDING REGISTER  Registro 4 offset bit 5,,---SPARE---,I 3.13,HOLDING REGISTER  Registro 3 offset bit 13,,,
LEL-MAG-SOL02 COIL5-TS,I 4.06,HOLDING REGISTER  Registro 4 offset bit 6,,---SPARE---,I 3.14,HOLDING REGISTER  Registro 3 offset bit 14,,,
LEL-MAG-SOL02 COIL6-TS,I 4.07,HOLDING REGISTER  Registro 4 offset bit 7,,VP01_ON_REQUEST,D 4.00,HOLDING REGISTER  Registro 4 offset bit 0,,,
LEL-MAG-SOL02 COIL7-TS,I 4.08,HOLDING REGISTER  Registro 4 offset bit 8,,VP01_OFF_REQUEST,D 4.01,HOLDING REGISTER  Registro 4 offset bit 1,,,
LEL-MAG-SOL02 COIL8-TS,I 4.09,HOLDING REGISTER  Registro 4 offset bit 9,,VP01_RESET_REQUEST,D 4.02,HOLDING REGISTER  Registro 4 offset bit 2,,,
LEL-MAG-SOL02 COIL9-TS,I 4.10,HOLDING REGISTER  Registro 4 offset bit 10,,VP03_ON_REQUEST,D 4.03,HOLDING REGISTER  Registro 4 offset bit 3,,,
LEL-MAG-SOL02 COIL10-TS,I 4.11,HOLDING REGISTER  Registro 4 offset bit 11,,VP03_OFF_REQUEST,D 4.04,HOLDING REGISTER  Registro 4 offset bit 4,,,
LEL-MAG-SOL02 COIL11-TS,I 4.12,HOLDING REGISTER  Registro 4 offset bit 12,,VP03_RESET_REQUEST,D 4.05,HOLDING REGISTER  Registro 4 offset bit 5,,,
LEL-MAG-SOL02 COIL12-TS,I 4.13,HOLDING REGISTER  Registro 4 offset bit 13,,VALVF02_ON_REQUEST,D 4.06,HOLDING REGISTER  Registro 4 offset bit 6,,,
LEL-MAG-QPSU01_EXT1,O 5.00,HOLDING REGISTER  Registro 5 offset bit 0,,VALVF02_OFF_REQUEST,D 4.07,HOLDING REGISTER  Registro 4 offset bit 7,,,
LEL-MAG-QPSU01_EXT2,O 5.01,HOLDING REGISTER  Registro 5 offset bit 1,,VALVF02_RESET_REQUEST,D 4.08,HOLDING REGISTER  Registro 4 offset bit 8,,,
LEL-MAG-QPSU02_EXT1,O 5.02,HOLDING REGISTER  Registro 5 offset bit 2,,,,,,,
LEL-MAG-QPSU02_EXT2,O 5.03,HOLDING REGISTER  Registro 5 offset bit 3,,,,,,,
LEL-MAG-QPSU03_EXT1,O 5.04,HOLDING REGISTER  Registro 5 offset bit 4,,,,,,,
LEL-MAG-QPSU03_EXT2,O 5.05,HOLDING REGISTER  Registro 5 offset bit 5,,,,,,,
LEL-MAG-DPSU01_EXT1,O 5.06,HOLDING REGISTER  Registro 5 offset bit 6,,,,,,,
LEL-MAG-DPSU01_EXT2,O 5.07,HOLDING REGISTER  Registro 5 offset bit 7,,,,,,,
